peak_obsid,DR3_source_id,source_ra,source_dec,start_time,end_time
197025898,6471134835842209792,311.08724813198256,-53.8509176383063,2023-03-31 09:24:59,2023-03-31 11:32:47
200011705,6561698791124472960,329.6574108107043,-45.74334615380629,2023-05-04 22:48:26,2023-05-05 00:56:14
201916697,6451858850820471680,319.6890979181634,-61.354678165079605,2023-05-26 23:58:18,2023-05-27 02:06:06
202249293,6559052816392332288,328.6016048687864,-49.944782635480266,2023-05-30 20:21:34,2023-05-30 22:29:22
202320096,4926330860064079872,8.791887307738017,-50.33475090811129,2023-05-31 16:01:37,2023-05-31 18:09:25
202483981,6559052816392332288,328.6016048687864,-49.944782635480266,2023-06-02 13:33:02,2023-06-02 15:40:50
204502524,4984027698370924672,21.390202270722884,-41.80969550723936,2023-06-25 22:15:25,2023-06-26 00:23:13
204520069,6482728567483006208,310.667076347898,-46.67198560394159,2023-06-26 03:07:50,2023-06-26 05:15:38
204740936,4984027698370924672,21.390202270722884,-41.80969550723936,2023-06-28 16:28:57,2023-06-28 18:36:45
204865337,4954453580066220800,26.133622944064275,-46.07569444205807,2023-06-30 03:02:18,2023-06-30 05:10:06
204940971,4946915641880235904,39.951985413458445,-42.88485681311408,2023-07-01 00:02:52,2023-07-01 02:10:40
205199372,4743518532046419072,31.14709864974247,-54.88179530982608,2023-07-03 23:49:33,2023-07-04 01:57:21
205545046,6463748969563201408,319.96401723095363,-53.44974212530583,2023-07-07 23:50:47,2023-07-08 01:58:35
206191850,6388014157668558080,352.24103003800235,-68.04308778549132,2023-07-15 11:30:51,2023-07-15 13:38:39
206333946,6463546350186454144,320.1836453471681,-54.633105555805805,2023-07-17 02:59:07,2023-07-17 05:06:55
208358391,6471134835842209792,311.08724813198256,-53.8509176383063,2023-08-09 13:19:52,2023-08-09 15:27:40
208725802,6463546350186454144,320.1836453471681,-54.633105555805805,2023-08-13 19:23:23,2023-08-13 21:31:11
210122640,4904142818493218304,13.575856091850628,-59.422392679186245,2023-08-29 23:24:01,2023-08-30 01:31:49
210260914,4850405974392311296,48.10760539385198,-44.42078288929871,2023-08-31 13:48:35,2023-08-31 15:56:23
210529839,6559052816392332288,328.6016048687864,-49.944782635480266,2023-09-03 16:30:40,2023-09-03 18:38:28
210738296,6452221724017193216,322.6045205685051,-60.207088204064576,2023-09-06 02:24:57,2023-09-06 04:32:45
213603080,4708842443566593536,12.92850833849788,-64.95460843602757,2023-10-09 06:11:21,2023-10-09 08:19:09
214759444,4708842443566593536,12.92850833849788,-64.95460843602757,2023-10-22 15:24:05,2023-10-22 17:31:53
215488901,4745195905754074496,39.21616683987317,-52.05100169717996,2023-10-31 02:01:42,2023-10-31 04:09:30
215527046,6452221724017193216,322.6045205685051,-60.207088204064576,2023-10-31 12:37:27,2023-10-31 14:45:15
216295152,6466063063582742656,320.2494809027634,-52.4782560168188,2023-11-09 09:59:13,2023-11-09 12:07:01
247907993,4933323685296675584,18.48413054171069,-46.44166372968213,2024-11-09 07:19:54,2024-11-09 09:27:42
259491431,4910693055937045888,20.5790036577259,-56.73158964643604,2025-03-23 08:57:12,2025-03-23 11:05:00
260061578,6467817609261492224,308.3055192930952,-58.112473850141086,2025-03-29 23:19:39,2025-03-30 01:27:27
261022863,6396977135940047616,329.464962550993,-68.2143082832551,2025-04-10 02:21:04,2025-04-10 04:28:52
261371409,6375292709353220992,314.66707715448143,-70.4220427062353,2025-04-14 03:10:10,2025-04-14 05:17:58
262559227,4983013261456536576,15.674266640911663,-43.35949315109205,2025-04-27 21:07:08,2025-04-27 23:14:56
262559227,4983013261456536576,15.674266640911663,-43.35949315109205,2025-04-27 21:07:08,2025-04-27 23:14:56
263012555,4742040410461492096,40.445863483694914,-52.99795055090574,2025-05-03 03:02:36,2025-05-03 05:10:24
263206131,6466063063582742656,320.2494809027634,-52.4782560168188,2025-05-05 08:48:52,2025-05-05 10:56:40
264493319,4752256797628777728,42.79798080458583,-47.88549198147656,2025-05-20 06:22:00,2025-05-20 08:29:48
264874600,4735509380111662208,48.78654325176358,-51.73607430692571,2025-05-24 16:16:41,2025-05-24 18:24:29
265806425,4710627809932009344,16.828466602796897,-61.77533875169584,2025-06-04 11:07:06,2025-06-04 13:14:54
